temperature,stage,tank_id,no_fish,vol_resp_L,MO2_rest_average,max_MO2_rec,factorial_MO2
28,a,a8,5,0.615,0.189519031,0.28674375,1.513007684
28,a,a4,5,0.615,0.210933861,0.2583,1.224554458
28,a,a10,5,0.615,0.262430048,0.28059375,1.069213499
28,a,a6,5,0.615,0.314227799,0.45586875,1.450758816
28,a,a2,5,0.615,0.225896232,0.23754375,1.051561364
32,a,a1,5,0.615,0.308154901,0.33825,1.097662245
32,a,a3,5,0.615,0.271615108,0.40974375,1.508545505
32,a,a5,5,0.615,0.362025555,0.525825,1.452452713
32,a,a9,5,0.615,0.374798757,0.4873875,1.300397855
28,l,l8,5,0.007,0.004360267,0.00660625,1.515102153
28,l,l4,5,0.007,0.004437634,0.00557375,1.256018544
28,l,l10,5,0.007,0.005237488,0.0132125,2.522678762
28,l,l6,5,0.007,0.004173209,0.00749875,1.796878777
28,l,l2,5,0.007,0.004683975,0.00573125,1.223586697
32,l,l1,5,0.007,0.005786383,0.007735,1.336759108
32,l,l3,5,0.007,0.006129687,0.00700875,1.143410686
32,l,l5,5,0.007,0.005522509,0.00709625,1.284968575
32,l,l9,5,0.007,0.007149421,0.0104825,1.46620266
32,l,l7,5,0.007,0.005365744,0.0067725,1.262173447
28,j,j8,5,0.026,0.010090709,0.038675,3.832733801
28,j,j10,5,0.026,0.010895406,0.0547625,5.026201011
28,j,j2,5,0.026,0.008847717,0.04433,5.010332148
32,j,j1,3,0.026,0.034692619,0.053354167,1.537911201
32,j,j3,5,0.026,0.012429935,0.0420225,3.380749719
32,j,j5,3,0.026,0.031890389,0.06565,2.058613981
32,j,j7,4,0.026,0.020839787,0.04753125,2.280793449
