tank,stage,temperature,speed,distance_BL
1,l,32,1.5,2.433125
1,l,32,3,2.5743625
1,l,32,4,2.6405125
1,l,32,5,2.0638375
1,j,32,1.5,1.62196153846154
1,j,32,2,1.82869230769231
1,j,32,3,1.38782051282051
1,j,32,4,2.31648717948718
1,j,32,5,1.51602564102564
1,a,32,1,1.27623555555555
1,a,32,1.5,1.22927166666667
1,a,32,2,1.058605
1,a,32,3,0.799583333333333
1,a,32,4,1.22573333333333
1,a,32,5,1.01159833333333
2,l,28,1.5,2.8704
2,l,28,3,2.59781666666667
2,l,28,4,3.890525
2,l,28,5,2.4005375
2,j,28,1.5,1.29083846153846
2,j,28,2,2.18229230769231
2,j,28,3,1.22882307692308
2,j,28,4,1.06276923076923
2,j,28,5,1.61136923076923
2,a,28,1,1.06072333333333
2,a,28,1.5,1.19442444444444
2,a,28,2,1.083365
2,a,28,3,0.915741666666667
2,a,28,4,0.817293333333333
2,a,28,5,1.17184833333333
3,l,32,1.5,2.537
3,l,32,3,2.925325
3,l,32,4,2.7443375
3,l,32,5,2.5538
3,j,32,1.5,0.95193076923077
3,j,32,2,1.52625384615385
3,j,32,3,0.719053846153846
3,j,32,4,2.25583076923077
3,j,32,5,1.9122
3,a,32,1,0.998005555555556
3,a,32,1.5,1.18817666666667
3,a,32,2,1.17092166666667
3,a,32,3,0.971357777777778
3,a,32,4,1.11667833333333
3,a,32,5,1.277085
4,l,28,1.5,2.8160625
4,l,28,3,3.20645833333333
4,l,28,4,3.8898875
4,l,28,5,3.3818
4,j,28,1.5,1.86379230769231
4,j,28,2,1.21552307692308
4,j,28,3,1.15793846153846
4,j,28,4,1.27750769230769
4,j,28,5,1.65986153846154
4,a,28,1,1.24055333333333
4,a,28,1.5,1.22378666666667
4,a,28,2,1.027305
4,a,28,3,1.05832166666667
4,a,28,4,0.986928333333334
4,a,28,5,0.968695555555555
5,l,32,1.5,3.388725
5,l,32,3,2.8713
5,l,32,4,3.215725
5,l,32,5,3.385375
5,j,32,1.5,0.797025641025642
5,j,32,2,1.72755128205128
5,j,32,3,1.8076282051282
5,j,32,4,1.02388461538462
5,j,32,5,1.62897435897436
5,a,32,1,1.34747111111111
5,a,32,1.5,1.33326
5,a,32,2,1.24209666666667
5,a,32,3,1.18513444444444
5,a,32,4,1.06813833333333
5,a,32,5,1.50742333333333
6,l,28,1.5,1.6358
6,l,28,3,2.64581666666667
6,l,28,4,3.45765
6,l,28,5,3.3552625
6,j,28,1.5,1.71777307692308
6,j,28,2,1.80463076923077
6,j,28,3,1.47863846153846
6,j,28,4,1.04358461538462
6,j,28,5,1.27369230769231
6,a,28,1,0.947303333333334
6,a,28,1.5,1.07409222222222
6,a,28,2,1.12613444444444
6,a,28,3,1.320315
6,a,28,4,0.807158333333334
6,a,28,5,1.05012166666667
7,l,32,1.5,2.4895125
7,l,32,3,3.59267916666667
7,l,32,4,2.05675
7,l,32,5,4.495775
7,j,32,1.5,1.53027307692308
7,j,32,2,1.41455384615385
7,j,32,3,1.86213076923077
7,j,32,4,1.69110769230769
7,j,32,5,1.69756923076923
7,a,32,1,1.34356333333333
7,a,32,1.5,1.21561555555556
7,a,32,2,1.07746444444444
7,a,32,3,0.838666666666667
7,a,32,4,0.826091666666666
7,a,32,5,0.829063333333333
8,l,28,1.5,2.5780125
8,l,28,3,3.15882916666667
8,l,28,4,3.82045
8,l,28,5,3.4127875
8,j,28,1.5,1.63041538461538
8,j,28,2,1.57408461538462
8,j,28,3,2.14368461538462
8,j,28,4,1.6117
8,j,28,5,1.34940559440559
8,a,28,1,1.22150666666667
8,a,28,1.5,1.20362333333333
8,a,28,2,1.20716833333333
8,a,28,3,1.15796888888889
8,a,28,4,1.27886333333333
8,a,28,5,1.10351833333333
9,l,32,1.5,2.321025
9,l,32,3,3.27667916666667
9,l,32,4,1.936825
9,l,32,5,4.0092375
9,j,32,1.5,0.985999999999999
9,j,32,2,2.15106923076923
9,j,32,3,1.90382307692308
9,j,32,4,1.39096153846154
9,j,32,5,1.44774615384615
9,a,32,1,1.18188888888889
9,a,32,1.5,1.16907666666667
9,a,32,2,1.12884555555555
9,a,32,3,1.164665
9,a,32,4,1.136595
9,a,32,5,1.14069666666667
10,l,28,1.5,2.6541125
10,l,28,3,2.67521666666667
10,l,28,4,3.131675
10,l,28,5,1.4485625
10,a,28,1,1.12770666666667
10,a,28,1.5,0.854505555555556
10,a,28,2,1.15596111111111
10,a,28,3,0.957103333333333
10,a,28,4,0.955937777777778
10,a,28,5,1.10637666666667
