temperature,tank_id,stage,speed,switch_rate
28,2,a,1,2.710027100271
28,2,a,1.5,8.48656294200849
28,2,a,2,7.45341614906832
28,2,a,3,8.33333333333333
28,2,a,4,4.37636761487965
28,2,a,5,2.85714285714286
28,2,j,1.5,4.24714360374486
28,2,j,2,1.72215843857635
28,2,j,3,0.957854406130268
28,2,j,4,2.53164556962025
28,2,j,5,0
28,2,l,1.5,3.05810397553517
28,2,l,3,1.51752021403181
28,2,l,4,1.5552099533437
28,2,l,5,1.56576200417537
28,4,a,1,8.30670926517572
28,4,a,1.5,6.26780626780627
28,4,a,2,5.17063081695967
28,4,a,3,3.40136054421769
28,4,a,4,2.62984878369494
28,4,a,5,1.98609731876862
28,4,j,1.5,2.43480221025131
28,4,j,2,1.81488203266788
28,4,j,3,3.52526439482961
28,4,j,4,2.87769784172662
28,4,j,5,1.00502512562814
28,4,l,1.5,2.38549618320611
28,4,l,3,2.91486137996511
28,4,l,4,0.7097232079489
28,4,l,5,0.513347022587269
28,6,a,1,4.63917525773196
28,6,a,1.5,1.44717800289436
28,6,a,2,3.12597686777118
28,6,a,3,1.32450331125828
28,6,a,4,1.68634064080944
28,6,a,5,0
28,6,j,1.5,5.66507122180505
28,6,j,2,5.05689001264223
28,6,j,3,5.36193029490617
28,6,j,4,2.33372228704784
28,6,j,5,1.05485232067511
28,6,l,1.5,1.94457948468644
28,6,l,3,1.7665078853505
28,6,l,4,2.69832703723691
28,6,l,5,1.45878920495988
28,8,a,1,4.0453074433657
28,8,a,1.5,3.17586343787217
28,8,a,2,0
28,8,a,3,2.67737617135208
28,8,a,4,2.12765957446809
28,8,a,5,0
28,8,j,1.5,3.50443617494722
28,8,j,2,6.20347394540943
28,8,j,3,0
28,8,j,4,1.70068027210884
28,8,j,5,2.03665987780041
28,8,l,1.5,1.69779286926995
28,8,l,3,0.758406329895685
28,8,l,4,2.86327845382964
28,8,l,5,0.771604938271605
28,10,a,1,6.41539695268645
28,10,a,1.5,5.13698630136986
28,10,a,2,9.65107646622123
28,10,a,3,4.18410041841004
28,10,a,4,0
28,10,a,5,0
28,10,j,1.5,7.9484201435421
28,10,j,2,5.56070435588508
28,10,j,3,3.85356454720617
28,10,j,4,10.2040816326531
28,10,j,5,2.02429149797571
28,10,l,1.5,0.449236298292902
28,10,l,3,2.35370743633241
28,10,l,4,3.74531835205993
28,10,l,5,2.45398773006135
32,1,a,1,11.2820512820513
32,1,a,1.5,9.47867298578199
32,1,a,2,9.11458333333333
32,1,a,3,3.2
32,1,a,4,4.17536534446764
32,1,a,5,4.77099236641221
32,1,j,1.5,1.22259066738364
32,1,j,2,0.471698113207547
32,1,j,3,0
32,1,j,4,0
32,1,j,5,0
32,1,l,1.5,2.08986415882968
32,1,l,3,2.23830275846215
32,1,l,4,1.15008625646924
32,1,l,5,0.384172109104879
32,3,a,1,3.91134289439374
32,3,a,1.5,8.31733845169546
32,3,a,2,15.8139534883721
32,3,a,3,6.28140703517588
32,3,a,4,10.9670987038883
32,3,a,5,0
32,3,j,1.5,0
32,3,j,2,1.51515151515152
32,3,j,3,1.32978723404255
32,3,j,4,0
32,3,j,5,1.59744408945687
32,3,l,1.5,2.14041095890411
32,3,l,3,2.079705597929
32,3,l,4,0.54054054054054
32,3,l,5,0.560538116591928
32,5,a,1,7.01754385964912
32,5,a,1.5,1.04493207941484
32,5,a,2,3.18471337579618
32,5,a,3,0
32,5,a,4,3.17124735729387
32,5,a,5,3.92927308447937
32,5,j,1.5,1.69683257918552
32,5,j,2,1.8018018018018
32,5,j,3,1.17370892018779
32,5,j,4,3.38983050847458
32,5,j,5,0
32,5,l,1.5,0.493096646942801
32,5,l,3,2.4240079577745
32,5,l,4,1.34228187919463
32,5,l,5,0.611620795107034
32,7,a,1,7.02458605117913
32,7,a,1.5,2.50417362270451
32,7,a,2,7.95906765207504
32,7,a,3,6.73400673400673
32,7,a,4,5.95829195630586
32,7,a,5,3.69458128078818
32,7,j,1.5,3.05871933123048
32,7,j,2,4.14364640883978
32,7,j,3,0.815660685154976
32,7,j,4,2.05761316872428
32,7,j,5,3.68324125230203
32,7,l,1.5,2.91423813488759
32,7,l,3,1.54067378130297
32,7,l,4,1.65562913907285
32,7,l,5,1.07104605498036
32,9,a,1,3.61300682456845
32,9,a,1.5,2.68817204301075
32,9,a,2,6.45577792123951
32,9,a,3,5.52995391705069
32,9,a,4,3.91006842619746
32,9,a,5,5.56881463802705
32,9,l,1.5,1.41843971631206
32,9,l,3,1.49452768810174
32,9,l,4,0.619962802231866
32,9,l,5,0
